Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
workstationOvenDesc,,blocks,Block,New,This working oven can be used to cook many different recipes without using a fuel source.,,,,,
workstationOven,,blocks,Block,New,Working Oven,,,,,
WorkingSinkDesc,,blocks,Block,New,This working can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingGranitSink,,blocks,Block,New,Working Sink,,,,,
JunctionBoxDesc,,blocks,Block,New,This fuse box works as distributor for electricity with in-wall wiring.,,,,,
JunctionBox,,blocks,Block,New,Junction Box,,,,,
porchLight01_Player,,blocks,Block,New,Porch Light,,Veranda Licht,,,
porchLight04_Player,,blocks,Block,New,Porch Light,,Veranda Licht,,,
porchLight04Brass_Player,,blocks,Block,New,Porch Light,,Veranda Licht,,,
ceilingLight02_Player,,blocks,Block,New,Ceiling Light,,Deckenleuchte,,,
ceilingLight02Brass_Player,,blocks,Block,New,Ceiling Light,,Deckenleuchte,,,
ceilingLight04_Player,,blocks,Block,New,Ceiling Light,,Deckenleuchte,,,
ceilingLight05_Player,,blocks,Block,New,Ceiling Light,,Deckenleuchte,,,
ceilingLight05Brass_Player,,blocks,Block,New,Ceiling Light,,Deckenleuchte,,,
wallLight01_Player,,blocks,Block,New,Warehouse Outdoor Light,,Kaufhaus-Außenlicht,,,
streetLight01_Player,,blocks,Block,New,Street Light,,Straßenlicht,,,
streetLightClassic_Player,,blocks,Block,New,Street Lantern,,Straßenlicht klassisch,,,
sconce1Light_Player,,blocks,Block,New,Sconce Light,,Leuchter,,,
flashlightDecor_Player,,blocks,Block,New,flashlight,,Taschenlampe,,,
industrialLight02Red_Player,,blocks,Block,Red Industrial Light,,industrielles Licht (rot),,,
ceilingFanLight_Player,,blocks,Block,New,Ceiling Fan Light,,Deckenventilator mit Leuchte,,,
endTableLamp_Player,,blocks,Block,New,End Table Lamp,,Beistelltischlampe,,,
signExitLight_Player,,blocks,Block,New,Exit Sign,,Ausgangschild (belecuhtet),,,
roadBarricadeLight_Player,,blocks,Block,New,Road Barricade Light,,Straßensperre (belecuhtet),,,
deskLampLight_Player,,blocks,Block,New,Desk Lamp,,Schreibtischlampe,,,
tableLampLight_Player,,blocks,Block,New,Table Lamp,,Tischlampe,,,
plantedPeas1,blocks,Farming,,,Peas (Seed),,Erbse (Sämling),,,
plantedPeas2,blocks,Farming,,,Peas (Growing),,Erbse (Anbau),,,
plantedPeas3HarvestDesc,blocks,Farming,,,Peas Plant,,Erbsen-Pflanze,,,
foodCropPeas,items,Farming,,,Peas,,Erbsen,,,
